,Rank,Zulu words,in English
0,1,njengoba,as
1,2,I,I
2,3,wakhe,his
3,4,ukuthi,that
4,5,yena,he
5,6,kwaba,was
6,7,ngoba,for
7,8,on,on
8,9,kukhona,are
9,10,nge,with
10,11,bona,they
11,12,kube,be
12,13,at,at
13,14,eyodwa,one
14,15,abe,have
15,16,le,this
16,17,kusuka,from
17,18,by,by
18,19,esishisayo,hot
19,20,igama,word
20,21,kodwana,but
21,22,lokho,what
22,23,Kwezinye,some
23,24,kuyinto,is
24,25,it,it
25,26,wena,you
26,27,noma,or
27,28,kwadingeka,had
28,29,lo,the
29,30,of,of
30,31,kuya,to
31,32,futhi,and
32,33,a,a
33,34,in,in
34,35,thina,we
35,36,okusemandleni,can
36,37,ukuphuma,out
37,38,ezinye,other
38,39,babengamadoda,were
39,40,okuyinto,which
40,41,enza,do
41,42,yabo,their
42,43,nesikhathi,time
43,44,uma,if
44,45,kuthanda,will
45,46,indlela,how
46,47,uthe,said
47,48,an,an
48,49,ngamunye,each
49,50,ukutshela,tell
50,51,enza,does
51,52,setha,set
52,53,amathathu,three
53,54,bafuna,want
54,55,air,air
55,56,kahle,well
56,57,futhi,also
57,58,udlale,play
58,59,amancane,small
59,60,Ukuphela,end
60,61,abeke,put
61,62,Ikhaya,home
62,63,funda,read
63,64,Isandla,hand
64,65,echwebeni,port
65,66,ende,large
66,67,luzosho,spell
67,68,ukwengeza,add
68,69,yebo,even
69,70,Izwe,land
70,71,lapha,here
71,72,kumele,must
72,73,enkulu,big
73,74,high,high
74,75,enjalo,such
75,76,ukulandela,follow
76,77,isenzo,act
77,78,kungani,why
78,79,cela,ask
79,80,amadoda,men
80,81,ushintsho,change
81,82,waya,went
82,83,Ukukhanya,light
83,84,uhlobo,kind
84,85,off,off
85,86,badinga,need
86,87,indlu,house
87,88,yendaba,picture
88,89,sizame,try
89,90,nathi,us
90,91,futhi,again
91,92,animal,animal
92,93,phuzu,point
93,94,umama,mother
94,95,umhlaba,world
95,96,tsini,near
96,97,ukwakha,build
97,98,wokuzilimaza,self
98,99,emhlabeni,earth
99,100,Ubaba,father
100,101,yisiphi,any
101,102,omusha,new
102,103,Umsebenzi,work
103,104,okuyingxenye,part
104,105,kuthathe,take
105,106,uthole,get
106,107,indawo,place
107,108,ezenziwe,made
108,109,siphile,live
109,110,lapho,where
110,111,emva,after
111,112,back,back
112,113,kancane,little
113,114,kodwa,only
114,115,nxazonke,round
115,116,man,man
116,117,ngonyaka,year
117,118,weza,came
118,119,bonisa,show
119,120,njalo,every
120,121,okuhle,good
121,122,me,me
122,123,pha,give
123,124,ethu,our
124,125,ngaphansi,under
125,126,Igama,name
126,127,kakhulu,very
127,128,ngokusebenzisa,through
128,129,nje,just
129,130,ifomu,form
130,131,uhlamvu,sentence
131,132,okukhulu,great
132,133,acabange,think
133,134,bathi,say
134,135,usize,help
135,136,ongaphakeme,low
136,137,line,line
137,138,ihluke,differ
138,139,baphendukela,turn
139,140,kwesizathu,cause
140,141,okuningi,much
141,142,asho,mean
142,143,ngaphambi,before
143,144,ukuthutha,move
144,145,kwesokudla,right
145,146,mfana,boy
146,147,endala,old
147,148,futhi,too
148,149,efanayo,same
149,150,yena,she
150,151,konke,all
151,152,khona,there
152,153,lapho,when
153,154,up,up
154,155,ukusetshenziswa,use
155,156,sakho,your
156,157,Indlela,way
157,158,mayelana,about
158,159,abaningi,many
159,160,ke,then
160,161,nabo,them
161,162,ukubhala,write
162,163,belungafica,would
163,164,like,like
164,165,kanjalo,so
165,166,la,these
166,167,wakhe,her
167,168,eside,long
168,169,ukwenza,make
169,170,Into,thing
170,171,bheka,see
171,172,naye,him
172,173,ezimbili,two
173,174,ine,has
174,175,bhekani,look
175,176,ngaphezulu,more
176,177,Usuku,day
177,178,okusemandleni,could
178,179,hamba,go
179,180,uze,come
180,181,wenza,did
181,182,Inombolo,number
182,183,kuzwakale,sound
183,184,akukho,no
184,185,iningi,most
185,186,Abantu,people
186,187,yami,my
187,188,phezu,over
188,189,bazi,know
189,190,kwamanzi,water
190,191,kunalokho,than
191,192,call,call
192,193,okokuqala,first
193,194,ngubani,who
194,195,may,may
195,196,phasi,down
196,197,side,side
197,198,kwaba,been
198,199,Manje,now
199,200,thola,find
200,201,Ikhanda,head
201,202,nime,stand
202,203,siqu,own
203,204,page,page
204,205,kufanele,should
205,206,izwe,country
206,207,wathola,found
207,208,Impendulo,answer
208,209,esikoleni,school
209,210,ukhule,grow
210,211,Ukutadisha,study
211,212,namanje,still
212,213,ufunde,learn
213,214,plant,plant
214,215,embesa,cover
215,216,ngokudla,food
216,217,sun,sun
217,218,ezine,four
218,219,emkhatsini,between
219,220,isimo,state
220,221,qhubeka,keep
221,222,iso,eye
222,223,bonaze,never
223,224,okokugcina,last
224,225,ake,let
225,226,bacabanga,thought
226,227,dolobha,city
227,228,isihlahla,tree
228,229,ukuwela,cross
229,230,ipulazi,farm
230,231,kanzima,hard
231,232,isiqalo,start
232,233,izikhwepha,might
233,234,Indaba,story
234,235,okwabonwa,saw
235,236,le,far
236,237,ulwandle,sea
237,238,udwebe,draw
238,239,kwesokunxele,left
239,240,sekwephuzile,late
240,241,sigijime,run
241,242,ungenzi,don’t
242,243,ngenkathi,while
243,244,cindezela,press
244,245,ngokuminyanisa,close
245,246,ebusuku,night
246,247,kwangempela,real
247,248,kuphila,life
248,249,ambalwa,few
249,250,enyakatho,north
250,251,Incwadi,book
251,252,athwale,carry
252,253,wathatha,took
253,254,isayensi,science
254,255,udle,eat
255,256,Igumbi,room
256,257,umngani,friend
257,258,waqala,began
258,259,umqondo,idea
259,260,izinhlanzi,fish
260,261,ntaba,mountain
261,262,ima,stop
262,263,kanye,once
263,264,isiza,base
264,265,zwa,hear
265,266,ihhashi,horse
266,267,ukusika,cut
267,268,isiqiniseko,sure
268,269,qaphela,watch
269,270,Umbala,color
270,271,Ubuso,face
271,272,izinkuni,wood
272,273,eziyinhloko,main
273,274,evulekile,open
274,275,babonakala,seem
275,276,ndawonye,together
276,277,olandelayo,next
277,278,elimhlophe,white
278,279,izingane,children
279,280,uqale,begin
280,281,wavuka,got
281,282,uhambe,walk
282,283,Isibonelo,example
283,284,ekudambiseni,ease
284,285,ephepheni,paper
285,286,iqoqo,group
286,287,njalo,always
287,288,umculo,music
288,289,nalabo,those
289,290,kokubili,both
290,291,uphawu,mark
291,292,ngokuvamile,often
292,293,incwadi,letter
293,294,kuze,until
294,295,lwamakhilomitha,mile
295,296,emfuleni,river
296,297,Imoto,car
297,298,izinyawo,feet
298,299,ukunakekelwa,care
299,300,kwesibili,second
300,301,ngokwanele,enough
301,302,ithafa,plain
302,303,ntombazane,girl
303,304,evamile,usual
304,305,young,young
305,306,ngomumo,ready
306,307,ngenhla,above
307,308,njalo,ever
308,309,obomvu,red
309,310,Uhlu,list
310,311,noma,though
311,312,bazizwa,feel
312,313,inkulumo,talk
313,314,nyoni,bird
314,315,Ngokushesha,soon
315,316,Umzimba,body
316,317,inja,dog
317,318,umndeni,family
318,319,ngqo,direct
319,320,abalona,pose
320,321,ushiye,leave
321,322,song,song
322,323,ukulinganisa,measure
323,324,Umnyango,door
324,325,umkhiqizo,product
325,326,omnyama,black
326,327,okufutshane,short
327,328,inani,numeral
328,329,ikilasi,class
329,330,ovunguzayo,wind
330,331,Umbuzo,question
331,332,kwenzeke,happen
332,333,kuqedile,complete
333,334,Umkhumbi,ship
334,335,indawo,area
335,336,isigamu,half
336,337,idwala,rock
337,338,oda,order
338,339,umlilo,fire
339,340,eningizimu,south
340,341,Inkinga,problem
341,342,ucezu,piece
342,343,utshele,told
343,344,wayazi,knew
344,345,Kudlula,pass
345,346,kusukela,since
346,347,phezulu,top
347,348,wonke,whole
348,349,inkosi,king
349,350,isitaladi,street
350,351,ngamasentimitha,inch
351,352,phindaphinda,multiply
352,353,lutho,nothing
353,354,inkambo,course
354,355,uhlale,stay
355,356,sondo,wheel
356,357,egcwele,full
357,358,isicindezelo,force
358,359,eluhlaza,blue
359,360,intfo,object
360,361,unqume,decide
361,362,ngaphandle,surface
362,363,ezijulile,deep
363,364,inyanga,moon
364,365,esiqhingini,island
365,366,ngezinyawo,foot
366,367,uhlelo,system
367,368,umatasa,busy
368,369,ukulinga,test
369,370,amarekhodi,record
370,371,Isikebhe,boat
371,372,ezivamile,common
372,373,igolide,gold
373,374,kunokwenzeka,possible
374,375,indiza,plane
375,376,esikhundleni,stead
376,377,eyomile,dry
377,378,bayazibuza,wonder
378,379,uhleko,laugh
379,380,abayizinkulungwane,thousand
380,381,edlule,ago
381,382,wagijimela,ran
382,383,hlola,check
383,384,mdlalo,game
384,385,uhlobo,shape
385,386,bathi,equate
386,387,ashisayo,hot
387,388,miss,miss
388,389,baletha,brought
389,390,ukushisa,heat
390,391,iqhwa,snow
391,392,isondo,tire
392,393,ukuletha,bring
393,394,Yebo,yes
394,395,ezikude,distant
395,396,ukugcwalisa,fill
396,397,empumalanga,east
